exam_id,question_id,correct_answer
PERF002,88,C
PERF002,89,D
PERF002,90,A
PERF002,91,B
PERF002,92,C
PERF002,93,D
PERF002,94,A
PERF002,95,B
PERF002,96,C
PERF002,97,D
PERF002,98,A
PERF002,99,B
PERF002,100,C
PERF003,1,B
PERF003,2,C
PERF003,3,D
PERF003,4,A
PERF003,5,B
PERF003,6,C
PERF003,7,D
PERF003,8,A
PERF003,9,B
PERF003,10,C
PERF003,11,D
PERF003,12,A
PERF003,13,B
PERF003,14,C
PERF003,15,D
PERF003,16,A
PERF003,17,B
PERF003,18,C
PERF003,19,D
PERF003,20,A
PERF003,21,B
PERF003,22,C
PERF003,23,D
PERF003,24,A
PERF003,25,B
PERF003,26,C
PERF003,27,D
PERF003,28,A
PERF003,29,B
PERF003,30,C
PERF003,31,D
PERF003,32,A
PERF003,33,B
PERF003,34,C
PERF003,35,D
PERF003,36,A
PERF003,37,B
PERF003,38,C
PERF003,39,D
PERF003,40,A
PERF003,41,B
PERF003,42,C
PERF003,43,D
PERF003,44,A
PERF003,45,B
PERF003,46,C
PERF003,47,D
PERF003,48,A
PERF003,49,B
PERF003,50,C
PERF003,51,D
PERF003,52,A
PERF003,53,B
PERF003,54,C
PERF003,55,D
PERF003,56,A
PERF003,57,B
PERF003,58,C
PERF003,59,D
PERF003,60,A
PERF003,61,B
PERF003,62,C
PERF003,63,D
PERF003,64,A
PERF003,65,B
PERF003,66,C
PERF003,67,D
PERF003,68,A
PERF003,69,B
PERF003,70,C
PERF003,71,D
PERF003,72,A
PERF003,73,B
PERF003,74,C
PERF003,75,D
PERF003,76,A
PERF003,77,B
PERF003,78,C
PERF003,79,D
PERF003,80,A
PERF003,81,B
PERF003,82,C
PERF003,83,D
PERF003,84,A
PERF003,85,B
PERF003,86,C
PERF003,87,D
PERF003,88,A
PERF003,89,B
PERF003,90,C
PERF003,91,D
PERF003,92,A
PERF003,93,B
PERF003,94,C
PERF003,95,D
PERF003,96,A
PERF003,97,B
PERF003,98,C
PERF003,99,D
PERF003,100,A
PERF004,1,D
PERF004,2,A
PERF004,3,B
PERF004,4,C
PERF004,5,D
PERF004,6,A
PERF004,7,B
PERF004,8,C
PERF004,9,D
PERF004,10,A
PERF004,11,B
PERF004,12,C
PERF004,13,D
PERF004,14,A
PERF004,15,B
PERF004,16,C
PERF004,17,D
PERF004,18,A
PERF004,19,B
PERF004,20,C
PERF004,21,D
PERF004,22,A
PERF004,23,B
PERF004,24,C
PERF004,25,D
PERF004,26,A
PERF004,27,B
PERF004,28,C
PERF004,29,D
PERF004,30,A
PERF004,31,B
PERF004,32,C
PERF004,33,D
PERF004,34,A
PERF004,35,B
PERF004,36,C
PERF004,37,D
PERF004,38,A
PERF004,39,B
PERF004,40,C
PERF004,41,D
PERF004,42,A
PERF004,43,B
PERF004,44,C
PERF004,45,D
PERF004,46,A
PERF004,47,B
PERF004,48,C
PERF004,49,D
PERF004,50,A
PERF004,51,B
PERF004,52,C
PERF004,53,D
PERF004,54,A
PERF004,55,B
PERF004,56,C
PERF004,57,D
PERF004,58,A
PERF004,59,B
PERF004,60,C
PERF004,61,D
PERF004,62,A
PERF004,63,B
PERF004,64,C
PERF004,65,D
PERF004,66,A
PERF004,67,B
PERF004,68,C
PERF004,69,D
PERF004,70,A
PERF004,71,B
PERF004,72,C
PERF004,73,D
PERF004,74,A
PERF004,75,B
PERF004,76,C
PERF004,77,D
PERF004,78,A
PERF004,79,B
PERF004,80,C
PERF004,81,D
PERF004,82,A
PERF004,83,B
PERF004,84,C
PERF004,85,D
PERF004,86,A
PERF004,87,B
PERF004,88,C
PERF004,89,D
PERF004,90,A
PERF004,91,B
PERF004,92,C
PERF004,93,D
PERF004,94,A
PERF004,95,B
PERF004,96,C
PERF004,97,D
PERF004,98,A
PERF004,99,B
PERF004,100,C
PERF005,1,B
PERF005,2,C
PERF005,3,D
PERF005,4,A
PERF005,5,B
PERF005,6,C
PERF005,7,D
PERF005,8,A
PERF005,9,B
PERF005,10,C
PERF005,11,D
PERF005,12,A
PERF005,13,B
PERF005,14,C
PERF005,15,D
PERF005,16,A
PERF005,17,B
PERF005,18,C
PERF005,19,D
PERF005,20,A
PERF005,21,B
PERF005,22,C
PERF005,23,D
PERF005,24,A
PERF005,25,B
PERF005,26,C
PERF005,27,D
PERF005,28,A
PERF005,29,B
PERF005,30,C
PERF005,31,D
PERF005,32,A
PERF005,33,B
PERF005,34,C
PERF005,35,D
PERF005,36,A
PERF005,37,B
PERF005,38,C
PERF005,39,D
PERF005,40,A
PERF005,41,B
PERF005,42,C
PERF005,43,D
PERF005,44,A
PERF005,45,B
PERF005,46,C
PERF005,47,D
PERF005,48,A
PERF005,49,B
PERF005,50,C
PERF005,51,D
PERF005,52,A
PERF005,53,B
PERF005,54,C
PERF005,55,D
PERF005,56,A
PERF005,57,B
PERF005,58,C
PERF005,59,D
PERF005,60,A
PERF005,61,B
PERF005,62,C
PERF005,63,D
PERF005,64,A
PERF005,65,B
PERF005,66,C
PERF005,67,D
PERF005,68,A
PERF005,69,B
PERF005,70,C
PERF005,71,D
PERF005,72,A
PERF005,73,B
PERF005,74,C
PERF005,75,D
PERF005,76,A
PERF005,77,B
PERF005,78,C
PERF005,79,D
PERF005,80,A
PERF005,81,B
PERF005,82,C
PERF005,83,D
PERF005,84,A
PERF005,85,B
PERF005,86,C
PERF005,87,D
PERF005,88,A
PERF005,89,B
PERF005,90,C
PERF005,91,D
PERF005,92,A
PERF005,93,B
PERF005,94,C
PERF005,95,D
PERF005,96,A
PERF005,97,B
PERF005,98,C
PERF005,99,D
PERF005,100,A
